provider,backend,job_id,pub_index,register_name,bit_width,shots,all_zero_count,all_one_count,all_zero_or_all_one_count,all_zero_or_all_one_probability,distinct_outcomes
ibm,ibm_kingston,d8up2d1ropqc738b44pg,0,meas,2,4096,2054,1941,3995,0.975342,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,1,meas,2,4096,2064,1932,3996,0.975586,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,2,meas,2,4096,2058,1919,3977,0.970947,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,3,meas,2,4096,2007,1958,3965,0.968018,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,4,meas,2,4096,2040,1926,3966,0.968262,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,5,meas,2,4096,2039,1930,3969,0.968994,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,6,meas,2,4096,2018,1951,3969,0.968994,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,7,meas,2,4096,2018,1941,3959,0.966553,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,8,meas,2,4096,2084,1895,3979,0.971436,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,9,meas,2,4096,2038,1897,3935,0.960693,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,10,meas,2,4096,2051,1914,3965,0.968018,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,11,meas,2,4096,2041,1946,3987,0.973389,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,12,meas,2,4096,2013,1918,3931,0.959717,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,13,meas,2,4096,2015,1916,3931,0.959717,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,14,meas,2,4096,2010,1926,3936,0.960938,4
ibm,ibm_kingston,d8up2d1ropqc738b44pg,15,meas,4,4096,2035,1855,3890,0.949707,15
ibm,ibm_kingston,d8up2d1ropqc738b44pg,16,meas,4,4096,2090,1825,3915,0.955811,13
ibm,ibm_kingston,d8up2d1ropqc738b44pg,17,meas,4,4096,2039,1848,3887,0.948975,13
ibm,ibm_kingston,d8up2d1ropqc738b44pg,18,meas,4,4096,2030,1842,3872,0.945312,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,19,meas,4,4096,1981,1855,3836,0.936523,15
ibm,ibm_kingston,d8up2d1ropqc738b44pg,20,meas,4,4096,1969,1858,3827,0.934326,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,21,meas,4,4096,1996,1836,3832,0.935547,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,22,meas,4,4096,1986,1821,3807,0.929443,15
ibm,ibm_kingston,d8up2d1ropqc738b44pg,23,meas,4,4096,2057,1775,3832,0.935547,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,24,meas,4,4096,2023,1705,3728,0.910156,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,25,meas,4,4096,1946,1767,3713,0.906494,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,26,meas,4,4096,2015,1707,3722,0.908691,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,27,meas,4,4096,1923,1638,3561,0.869385,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,28,meas,4,4096,1938,1602,3540,0.864258,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,29,meas,4,4096,1898,1618,3516,0.858398,16
ibm,ibm_kingston,d8up2d1ropqc738b44pg,30,meas,6,4096,1882,1788,3670,0.895996,26
ibm,ibm_kingston,d8up2d1ropqc738b44pg,31,meas,6,4096,1949,1787,3736,0.912109,29
ibm,ibm_kingston,d8up2d1ropqc738b44pg,32,meas,6,4096,1942,1785,3727,0.909912,28
ibm,ibm_kingston,d8up2d1ropqc738b44pg,33,meas,6,4096,1904,1725,3629,0.885986,38
ibm,ibm_kingston,d8up2d1ropqc738b44pg,34,meas,6,4096,1910,1673,3583,0.874756,40
ibm,ibm_kingston,d8up2d1ropqc738b44pg,35,meas,6,4096,1922,1749,3671,0.89624,35
ibm,ibm_kingston,d8up2d1ropqc738b44pg,36,meas,6,4096,1975,1616,3591,0.876709,36
ibm,ibm_kingston,d8up2d1ropqc738b44pg,37,meas,6,4096,1894,1689,3583,0.874756,42
ibm,ibm_kingston,d8up2d1ropqc738b44pg,38,meas,6,4096,1875,1710,3585,0.875244,44
ibm,ibm_kingston,d8up2d1ropqc738b44pg,39,meas,6,4096,1921,1522,3443,0.840576,45
ibm,ibm_kingston,d8up2d1ropqc738b44pg,40,meas,6,4096,1880,1522,3402,0.830566,45
ibm,ibm_kingston,d8up2d1ropqc738b44pg,41,meas,6,4096,1820,1579,3399,0.829834,50
ibm,ibm_kingston,d8up2d1ropqc738b44pg,42,meas,6,4096,1716,1358,3074,0.750488,58
ibm,ibm_kingston,d8up2d1ropqc738b44pg,43,meas,6,4096,1684,1330,3014,0.73584,56
ibm,ibm_kingston,d8up2d1ropqc738b44pg,44,meas,6,4096,1799,1270,3069,0.749268,55
ibm,ibm_kingston,d8up2d1ropqc738b44pg,45,meas,8,4096,1799,1648,3447,0.841553,50
ibm,ibm_kingston,d8up2d1ropqc738b44pg,46,meas,8,4096,1818,1638,3456,0.84375,52
ibm,ibm_kingston,d8up2d1ropqc738b44pg,47,meas,8,4096,1773,1681,3454,0.843262,57
ibm,ibm_kingston,d8up2d1ropqc738b44pg,48,meas,8,4096,1686,1486,3172,0.774414,80
ibm,ibm_kingston,d8up2d1ropqc738b44pg,49,meas,8,4096,1658,1502,3160,0.771484,73
ibm,ibm_kingston,d8up2d1ropqc738b44pg,50,meas,8,4096,1685,1496,3181,0.776611,83
ibm,ibm_kingston,d8up2d1ropqc738b44pg,51,meas,8,4096,1476,1320,2796,0.682617,87
ibm,ibm_kingston,d8up2d1ropqc738b44pg,52,meas,8,4096,1461,1374,2835,0.692139,91
ibm,ibm_kingston,d8up2d1ropqc738b44pg,53,meas,8,4096,1419,1411,2830,0.690918,86
ibm,ibm_kingston,d8up2d1ropqc738b44pg,54,meas,8,4096,914,1075,1989,0.485596,107
ibm,ibm_kingston,d8up2d1ropqc738b44pg,55,meas,8,4096,924,1041,1965,0.479736,121
ibm,ibm_kingston,d8up2d1ropqc738b44pg,56,meas,8,4096,903,1022,1925,0.469971,112
ibm,ibm_kingston,d8up2d1ropqc738b44pg,57,meas,8,4096,169,469,638,0.155762,158
ibm,ibm_kingston,d8up2d1ropqc738b44pg,58,meas,8,4096,173,480,653,0.159424,157
ibm,ibm_kingston,d8up2d1ropqc738b44pg,59,meas,8,4096,167,520,687,0.167725,149
ibm,ibm_kingston,d8up2d1ropqc738b44pg,60,meas,12,4096,1767,1484,3251,0.793701,103
ibm,ibm_kingston,d8up2d1ropqc738b44pg,61,meas,12,4096,1750,1469,3219,0.785889,110
ibm,ibm_kingston,d8up2d1ropqc738b44pg,62,meas,12,4096,1801,1443,3244,0.791992,113
ibm,ibm_kingston,d8up2d1ropqc738b44pg,63,meas,12,4096,1589,1316,2905,0.709229,186
ibm,ibm_kingston,d8up2d1ropqc738b44pg,64,meas,12,4096,1601,1291,2892,0.706055,182
ibm,ibm_kingston,d8up2d1ropqc738b44pg,65,meas,12,4096,1599,1284,2883,0.703857,181
ibm,ibm_kingston,d8up2d1ropqc738b44pg,66,meas,12,4096,1415,1107,2522,0.615723,222
ibm,ibm_kingston,d8up2d1ropqc738b44pg,67,meas,12,4096,1464,1015,2479,0.605225,219
ibm,ibm_kingston,d8up2d1ropqc738b44pg,68,meas,12,4096,1480,1072,2552,0.623047,228
ibm,ibm_kingston,d8up2d1ropqc738b44pg,69,meas,12,4096,898,750,1648,0.402344,322
