provider,backend,job_id,pub_index,register_name,bit_width,shots,all_zero_count,all_one_count,all_zero_or_all_one_count,all_zero_or_all_one_probability,distinct_outcomes
ibm,ibm_kingston,d95vhvd2su3c739gc080,0,c,2,4096,2064,1897,3961,0.967041,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,1,c,2,4096,1028,985,2013,0.491455,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,2,c,4,4096,2027,1902,3929,0.959229,13
ibm,ibm_kingston,d95vhvd2su3c739gc080,3,c,4,4096,278,235,513,0.125244,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,4,c,4,4096,301,219,520,0.126953,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,5,c,6,4096,1817,1647,3464,0.845703,48
ibm,ibm_kingston,d95vhvd2su3c739gc080,6,c,6,4096,86,63,149,0.036377,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,7,c,6,4096,83,35,118,0.028809,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,8,c,8,4096,1912,1607,3519,0.859131,73
ibm,ibm_kingston,d95vhvd2su3c739gc080,9,c,8,4096,18,22,40,0.009766,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,10,c,8,4096,20,17,37,0.009033,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,11,c,10,4096,1721,1510,3231,0.788818,124
ibm,ibm_kingston,d95vhvd2su3c739gc080,12,c,10,4096,6,0,6,0.001465,998
ibm,ibm_kingston,d95vhvd2su3c739gc080,13,c,10,4096,9,7,16,0.003906,998
ibm,ibm_kingston,d95vhvd2su3c739gc080,14,c,12,4096,1628,1269,2897,0.707275,205
ibm,ibm_kingston,d95vhvd2su3c739gc080,15,c,12,4096,2,2,4,0.000977,2574
ibm,ibm_kingston,d95vhvd2su3c739gc080,16,c,12,4096,3,0,3,0.000732,2579
ibm,ibm_kingston,d95vhvd2su3c739gc080,17,c,14,4096,1560,1151,2711,0.661865,289
ibm,ibm_kingston,d95vhvd2su3c739gc080,18,c,14,4096,0,0,0,0.0,3602
ibm,ibm_kingston,d95vhvd2su3c739gc080,19,c,14,4096,0,0,0,0.0,3603
ibm,ibm_kingston,d95vhvd2su3c739gc080,20,c,16,4096,1527,972,2499,0.610107,395
ibm,ibm_kingston,d95vhvd2su3c739gc080,21,c,16,4096,0,0,0,0.0,3957
ibm,ibm_kingston,d95vhvd2su3c739gc080,22,c,16,4096,0,0,0,0.0,3985
ibm,ibm_kingston,d95vhvd2su3c739gc080,23,c,2,4096,2026,1954,3980,0.97168,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,24,c,2,4096,1050,1041,2091,0.510498,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,25,c,4,4096,2013,1884,3897,0.951416,14
ibm,ibm_kingston,d95vhvd2su3c739gc080,26,c,4,4096,263,247,510,0.124512,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,27,c,4,4096,315,242,557,0.135986,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,28,c,6,4096,1813,1653,3466,0.846191,37
ibm,ibm_kingston,d95vhvd2su3c739gc080,29,c,6,4096,75,56,131,0.031982,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,30,c,6,4096,75,52,127,0.031006,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,31,c,8,4096,1866,1645,3511,0.857178,79
ibm,ibm_kingston,d95vhvd2su3c739gc080,32,c,8,4096,30,15,45,0.010986,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,33,c,8,4096,27,13,40,0.009766,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,34,c,10,4096,1617,1458,3075,0.750732,135
ibm,ibm_kingston,d95vhvd2su3c739gc080,35,c,10,4096,6,5,11,0.002686,1011
