target,target_classification,evidence_type,repetition,execute_job_name,circuit_index,circuit_id,display_name,algorithm_family,shots_requested,shots_retrieved,distribution_fidelity,total_variation_distance,all_zero_or_all_one_probability,marked_state_probability,distinct_outcomes,counts_json,ideal_distribution_json
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,0,bell_state,Bell-2,Bell,1000,1000,0.994697090791,0.038,0.996,,4,"{""00"": 534, ""01"": 2, ""10"": 2, ""11"": 462}","{""00"": 0.4999999999999999, ""11"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,1,ghz_3,GHZ-3,GHZ,1000,1000,0.989898979591,0.015,0.99,,7,"{""000"": 485, ""001"": 2, ""011"": 2, ""100"": 1, ""101"": 2, ""110"": 3, ""111"": 505}","{""000"": 0.4999999999999999, ""111"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,2,ghz_5,GHZ-5,GHZ,1000,1000,0.987974695708,0.012,0.988,,11,"{""00000"": 499, ""00001"": 1, ""00010"": 2, ""00100"": 1, ""01000"": 2, ""01110"": 1, ""01111"": 1, ""10001"": 1, ""10010"": 1, ""11011"": 2, ""11111"": 489}","{""00000"": 0.4999999999999999, ""11111"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,3,ghz_7,GHZ-7,GHZ,1000,1000,0.982606767177,0.045,0.984,,11,"{""0000000"": 529, ""0100000"": 2, ""0111110"": 1, ""0111111"": 4, ""1011111"": 1, ""1110111"": 1, ""1111001"": 2, ""1111011"": 2, ""1111101"": 2, ""1111110"": 1, ""1111111"": 455}","{""0000000"": 0.4999999999999999, ""1111111"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,4,grover_search_2,Grover-2,Grover,1000,1000,0.989,0.011,,0.989,4,"{""00"": 1, ""01"": 3, ""10"": 7, ""11"": 989}","{""11"": 0.9999999999999991}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,5,qft_3,QFT-3,QFT,1000,1000,0.999135180383,0.027,,,8,"{""000"": 133, ""001"": 118, ""010"": 133, ""011"": 136, ""100"": 118, ""101"": 120, ""110"": 117, ""111"": 125}","{""000"": 0.12499999999999994, ""001"": 0.12499999999999994, ""010"": 0.12499999999999994, ""011"": 0.12499999999999994, ""100"": 0.12499999999999994, ""101"": 0.12499999999999994, ""110"": 0.12499999999999994, ""111"": 0.12499999999999994}"
H2-Emulator,emulator,emulator,1,execute-H2-Emulator-matched-r1-20260723T163500Z,6,qft_5,QFT-5,QFT,1000,1000,0.988991346408,0.08075,,,32,"{""00000"": 37, ""00001"": 21, ""00010"": 27, ""00011"": 27, ""00100"": 47, ""00101"": 39, ""00110"": 36, ""00111"": 46, ""01000"": 32, ""01001"": 31, ""01010"": 32, ""01011"": 23, ""01100"": 28, ""01101"": 29, ""01110"": 22, ""01111"": 36, ""10000"": 29, ""10001"": 34, ""10010"": 34, ""10011"": 34, ""10100"": 33, ""10101"": 39, ""10110"": 25, ""10111"": 17, ""11000"": 27, ""11001"": 24, ""11010"": 34, ""11011"": 32, ""11100"": 34, ""11101"": 31, ""11110"": 27, ""11111"": 33}","{""00000"": 0.031249999999999976, ""00001"": 0.031249999999999976, ""00010"": 0.031249999999999976, ""00011"": 0.031249999999999976, ""00100"": 0.031249999999999976, ""00101"": 0.031249999999999976, ""00110"": 0.031249999999999976, ""00111"": 0.031249999999999976, ""01000"": 0.031249999999999976, ""01001"": 0.031249999999999976, ""01010"": 0.031249999999999976, ""01011"": 0.031249999999999976, ""01100"": 0.031249999999999976, ""01101"": 0.031249999999999976, ""01110"": 0.031249999999999976, ""01111"": 0.031249999999999976, ""10000"": 0.031249999999999976, ""10001"": 0.031249999999999976, ""10010"": 0.031249999999999976, ""10011"": 0.031249999999999976, ""10100"": 0.031249999999999976, ""10101"": 0.031249999999999976, ""10110"": 0.031249999999999976, ""10111"": 0.031249999999999976, ""11000"": 0.031249999999999976, ""11001"": 0.031249999999999976, ""11010"": 0.031249999999999976, ""11011"": 0.031249999999999976, ""11100"": 0.031249999999999976, ""11101"": 0.031249999999999976, ""11110"": 0.031249999999999976, ""11111"": 0.031249999999999976}"
H2-Emulator,emulator,emulator,2,execute-H2-Emulator-matched-r2-20260723T163500Z,0,bell_state,Bell-2,Bell,1000,1000,0.993855109665,0.015,0.994,,4,"{""00"": 485, ""01"": 1, ""10"": 5, ""11"": 509}","{""00"": 0.4999999999999999, ""11"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,2,execute-H2-Emulator-matched-r2-20260723T163500Z,1,ghz_3,GHZ-3,GHZ,1000,1000,0.994444664928,0.026,0.995,,6,"{""000"": 474, ""001"": 1, ""010"": 2, ""011"": 1, ""110"": 1, ""111"": 521}","{""000"": 0.4999999999999999, ""111"": 0.4999999999999999}"
H2-Emulator,emulator,emulator,2,execute-H2-Emulator-matched-r2-20260723T163500Z,2,ghz_5,GHZ-5,GHZ,1000,1000,0.990908922003,0.014,0.991,,8,"{""00000"": 505, ""00001"": 1, ""10001"": 2, ""10111"": 3, ""11001"": 1, ""11011"": 1, ""11101"": 1, ""11111"": 486}","{""00000"": 0.4999999999999999, ""11111"": 0.4999999999999999}"
