circuit_family,qubit_count,repetition,ibm_target_model,quantinuum_target_model,metric,ibm_value,quantinuum_value,quantinuum_minus_ibm,percent_difference_vs_ibm
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,620.0,450.0,-170.0,-27.419354838709676
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,0.62,0.45,-0.16999999999999998,-27.419354838709676
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.949845,0.973737,0.023891999999999913,2.515357768899127
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,3.0,3.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,5.0,7.0,2.0,40.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,1.0,1.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,3.0,3.0,0.0,0.0
bell,2,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,0.0,0.0,0.0,
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,2,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,4040.0,770.0,-3270.0,-80.94059405940595
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,4.04,0.77,-3.27,-80.94059405940595
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.833424,0.958221,0.12479699999999994,14.974010827621944
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,4.0,4.0,0.0,0.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_compiled_depth,16.0,9.0,-7.0,-43.75
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,native_entangling_gate_count,12.0,2.0,-10.0,-83.33333333333334
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routed_depth,8.0,4.0,-4.0,-50.0
ghz,3,3,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,routing_swap_count,4.0,0.0,-4.0,-100.0
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_ns,10880.0,1410.0,-9470.0,-87.04044117647058
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_native_execution_duration_us,10.88,1.41,-9.47,-87.04044117647058
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,estimated_success_probability_from_proxy_error_model,0.641642,0.927926,0.286284,44.61740347421147
ghz,5,1,qiskit-generic-backend-v2-line-proxy,quantinuum-h-series-rzz-offline-proxy,logical_depth,6.0,6.0,0.0,0.0
