scenario,duration_multiplier,error_multiplier,circuit_family,provider,target_model,qubit_count,repetition,estimated_native_execution_duration_from_proxy_timing_model_ns,estimated_native_execution_duration_from_proxy_timing_model_us,estimated_success_probability_from_proxy_error_model
baseline,1.0,1.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,1,620.0,0.62,0.949845
baseline,1.0,1.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,450.0,0.45,0.973737
baseline,1.0,1.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,2,620.0,0.62,0.949845
baseline,1.0,1.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,450.0,0.45,0.973737
baseline,1.0,1.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,620.0,0.62,0.949845
baseline,1.0,1.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,450.0,0.45,0.973737
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,1,4040.0,4.04,0.833424
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,770.0,0.77,0.958221
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,2,4040.0,4.04,0.833424
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,770.0,0.77,0.958221
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,4040.0,4.04,0.833424
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,770.0,0.77,0.958221
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,1,10880.0,10.88,0.641642
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,1410.0,1.41,0.927926
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,2,10880.0,10.88,0.641642
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,1410.0,1.41,0.927926
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,10880.0,10.88,0.641642
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1410.0,1.41,0.927926
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,1,17720.0,17.72,0.493991
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,1,2050.0,2.05,0.898589
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,2,17720.0,17.72,0.493991
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,2,2050.0,2.05,0.898589
baseline,1.0,1.0,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,17720.0,17.72,0.493991
baseline,1.0,1.0,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,2050.0,2.05,0.898589
baseline,1.0,1.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,1,1160.0,1.16,0.937529
baseline,1.0,1.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,720.0,0.72,0.967416
baseline,1.0,1.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,2,1160.0,1.16,0.937529
baseline,1.0,1.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,720.0,0.72,0.967416
baseline,1.0,1.0,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1160.0,1.16,0.937529
baseline,1.0,1.0,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,720.0,0.72,0.967416
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,1,8700.0,8.7,0.71536
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,1530.0,1.53,0.937323
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,2,8700.0,8.7,0.71536
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,1530.0,1.53,0.937323
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,8700.0,8.7,0.71536
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1530.0,1.53,0.937323
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,1,35800.0,35.8,0.280311
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,3530.0,3.53,0.870268
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,2,35800.0,35.8,0.280311
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,3530.0,3.53,0.870268
baseline,1.0,1.0,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,35800.0,35.8,0.280311
baseline,1.0,1.0,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,3530.0,3.53,0.870268
optimistic,0.75,0.5,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,1,465.0,0.465,0.974712
optimistic,0.75,0.5,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,337.5,0.3375,0.986809
optimistic,0.75,0.5,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,2,465.0,0.465,0.974712
optimistic,0.75,0.5,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,337.5,0.3375,0.986809
optimistic,0.75,0.5,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,465.0,0.465,0.974712
optimistic,0.75,0.5,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,337.5,0.3375,0.986809
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,1,3030.0,3.03,0.913199
