scenario,circuit_family,qubit_count,repetition,faster_duration_provider,higher_success_provider,ibm_duration_ns,quantinuum_duration_ns,ibm_success,quantinuum_success,duration_ordering_stable,success_ordering_stable
baseline,bell,2,1,quantinuum,quantinuum,620.0,450.0,0.949845,0.973737,True,True
baseline,bell,2,2,quantinuum,quantinuum,620.0,450.0,0.949845,0.973737,True,True
baseline,bell,2,3,quantinuum,quantinuum,620.0,450.0,0.949845,0.973737,True,True
baseline,ghz,3,1,quantinuum,quantinuum,4040.0,770.0,0.833424,0.958221,True,True
baseline,ghz,3,2,quantinuum,quantinuum,4040.0,770.0,0.833424,0.958221,True,True
baseline,ghz,3,3,quantinuum,quantinuum,4040.0,770.0,0.833424,0.958221,True,True
baseline,ghz,5,1,quantinuum,quantinuum,10880.0,1410.0,0.641642,0.927926,True,True
baseline,ghz,5,2,quantinuum,quantinuum,10880.0,1410.0,0.641642,0.927926,True,True
baseline,ghz,5,3,quantinuum,quantinuum,10880.0,1410.0,0.641642,0.927926,True,True
baseline,ghz,7,1,quantinuum,quantinuum,17720.0,2050.0,0.493991,0.898589,True,True
baseline,ghz,7,2,quantinuum,quantinuum,17720.0,2050.0,0.493991,0.898589,True,True
baseline,ghz,7,3,quantinuum,quantinuum,17720.0,2050.0,0.493991,0.898589,True,True
baseline,grover,2,1,quantinuum,quantinuum,1160.0,720.0,0.937529,0.967416,True,True
baseline,grover,2,2,quantinuum,quantinuum,1160.0,720.0,0.937529,0.967416,True,True
baseline,grover,2,3,quantinuum,quantinuum,1160.0,720.0,0.937529,0.967416,True,True
baseline,qft,3,1,quantinuum,quantinuum,8700.0,1530.0,0.71536,0.937323,True,True
baseline,qft,3,2,quantinuum,quantinuum,8700.0,1530.0,0.71536,0.937323,True,True
baseline,qft,3,3,quantinuum,quantinuum,8700.0,1530.0,0.71536,0.937323,True,True
baseline,qft,5,1,quantinuum,quantinuum,35800.0,3530.0,0.280311,0.870268,True,True
