circuit_family,provider,target_model,qubit_count,repetition,logical_depth,routed_depth,native_compiled_depth,routing_swap_count,native_entangling_gate_count,unsupported_operation_count,equivalence_passed,native_operation_counts,native_operation_sequence
bell,ibm,qiskit-generic-backend-v2-line-proxy,2,1,3,3.0,5.0,0.0,1.0,0.0,True,"{""cx"": 1, ""measure"": 2, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> measure(0) -> measure(1)"
bell,ibm,qiskit-generic-backend-v2-line-proxy,2,2,3,3.0,5.0,0.0,1.0,0.0,True,"{""cx"": 1, ""measure"": 2, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> measure(0) -> measure(1)"
bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,3,3.0,5.0,0.0,1.0,0.0,True,"{""cx"": 1, ""measure"": 2, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> measure(0) -> measure(1)"
bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,3,3.0,7.0,0.0,1.0,0.0,True,"{""measure"": 2, ""rx"": 3, ""rz"": 6, ""rzz"": 1}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,3,3.0,7.0,0.0,1.0,0.0,True,"{""measure"": 2, ""rx"": 3, ""rz"": 6, ""rzz"": 1}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,3,3.0,7.0,0.0,1.0,0.0,True,"{""measure"": 2, ""rx"": 3, ""rz"": 6, ""rzz"": 1}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,1,4,8.0,16.0,4.0,12.0,0.0,True,"{""cx"": 12, ""measure"": 3, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,2,4,8.0,16.0,4.0,12.0,0.0,True,"{""cx"": 12, ""measure"": 3, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,4,8.0,16.0,4.0,12.0,0.0,True,"{""cx"": 12, ""measure"": 3, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,1,6,18.0,38.0,12.0,34.0,0.0,True,"{""cx"": 34, ""measure"": 5, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(2,1) -> cx(1,2) -> cx(3,2) -> cx(2,3) -> cx(3,4) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
